Time,CH1[V]
438,-0.78125
439,-0.625
440,-0.625
441,-0.625
442,-0.78125
443,-0.78125
444,-0.625
445,-0.78125
446,-0.78125
447,-0.625
448,-0.78125
449,-0.78125
450,-0.625
451,-0.78125
452,-0.78125
453,-0.78125
454,-0.78125
455,-0.625
456,-0.625
457,-0.625
458,-0.625
459,-0.625
460,-0.625
461,-0.625
462,-0.78125
463,-0.78125
464,-0.625
465,-0.625
466,-0.625
467,-0.625
468,-0.625
469,-0.78125
470,-0.625
471,-0.78125
472,-0.78125
473,-0.78125
474,-0.78125
475,-0.78125
476,-0.78125
477,-0.625
478,-0.625
479,-0.625
480,-0.78125
481,-0.625
482,-0.78125
483,-0.78125
484,-0.78125
485,-0.625
486,-0.625
487,-0.78125
488,-0.78125
489,-0.78125
490,-0.625
491,-0.78125
492,-0.78125
493,-0.78125
494,-0.625
495,-0.78125
496,-0.78125
497,-0.78125
498,-0.625
499,-0.625
500,-0.78125
501,-0.625
502,-0.78125
503,-0.78125
504,-0.625
505,-0.625
506,-0.78125
507,-0.78125
508,-0.625
509,-0.78125
510,-0.625
511,-0.625
512,-0.78125
513,-0.78125
514,-0.625
515,-0.78125
516,-0.78125
517,-0.78125
518,-0.78125
519,-0.625
520,-0.78125
521,-0.78125
522,-0.625
523,-0.625
524,-0.625
525,-0.625
526,-0.625
527,-0.78125
528,-0.78125
529,-0.78125
530,-0.78125
531,-0.78125
532,-0.625
533,-0.625
534,-0.625
535,-0.625
536,-0.78125
537,-0.78125
538,-0.625
539,-0.625
540,-0.625
541,-0.625
542,-0.78125
543,-0.78125
544,-0.78125
545,-0.78125
546,-0.78125
547,-0.625
548,-0.625
549,-0.625
550,-0.625
551,-0.78125
552,-0.78125
553,-0.625
554,-0.78125
555,-0.625
556,-0.625
557,-0.625
558,-0.625
559,-0.625
560,-0.78125
561,-0.78125
562,-0.78125
563,-0.625
564,-0.625
565,-0.78125
566,-0.78125
567,-0.625
568,-0.78125
569,-0.78125
570,-0.78125
571,-0.78125
572,-0.625
573,-0.78125
574,-0.78125
575,-0.78125
576,-0.78125
577,-0.625
578,-0.625
579,-0.78125
580,-0.78125
581,-0.78125
582,-0.78125
583,-0.625
584,-0.9375
585,-0.625
586,-0.78125
587,-0.78125
588,-0.78125
589,-0.625
590,-0.625
591,-0.625
592,-0.625
593,-0.78125
594,-0.78125
595,-0.78125
596,-0.78125
597,-0.78125
598,-0.78125
599,-0.78125
600,-0.78125
601,-0.78125
602,-0.78125
603,-0.625
604,-0.625
605,-0.78125
606,-0.78125
607,-0.625
608,-0.78125
609,-0.625
610,-0.78125
611,-0.625
612,-0.78125
613,-0.625
614,-0.78125
615,-0.625
616,-0.625
617,-0.78125
618,-0.78125
619,-0.78125
620,-0.625
621,-0.625
622,25.46875
623,38.28125
624,37.96875
625,38.59375
626,38.125
627,25.625
628,37.96875
629,37.8125
630,36.5625
631,36.875
632,36.71875
633,36.71875
634,37.03125
635,37.03125
636,27.03125
637,35.9375
638,36.40625
639,37.03125
640,35.3125
641,37.03125
642,36.40625
643,31.875
644,35.78125
645,36.71875
646,35.9375
647,34.21875
648,34.84375
649,35.3125
650,32.65625
651,36.25
652,35.46875
653,36.25
654,34.84375
655,35.78125
656,33.59375
657,35.46875
658,35.3125
659,35.78125
660,35.15625
661,33.90625
662,35.46875
663,26.875
664,35.15625
665,34.53125
666,34.53125
667,34.0625
668,34.53125
669,34.0625
670,35
671,34.375
672,34.375
673,34.6875
674,25
675,34.53125
676,33.90625
677,24.84375
678,33.4375
679,33.90625
680,29.84375
681,33.75
682,21.875
683,32.8125
684,33.28125
685,32.8125
686,-0.625
687,-0.78125
688,-0.78125
689,-0.625
690,-0.78125
691,-0.78125
692,-0.78125
693,-0.625
694,-0.625
695,-0.78125
696,-0.78125
697,-0.625
698,-0.78125
699,-0.78125
700,-0.78125
701,-0.78125
702,-0.78125
703,-0.78125
704,-0.78125
705,-0.625
706,-0.625
707,-0.625
708,-0.625
709,-0.78125
710,-0.9375
711,-0.78125
712,-0.78125
713,-0.78125
714,-0.78125
715,-0.78125
716,-0.78125
717,-0.625
718,-0.78125
719,-0.78125
720,-0.78125
721,-0.78125
722,-0.625
723,-0.625
724,-0.78125
725,-0.9375
726,-0.78125
727,-0.78125
728,-0.625
729,-0.625
730,-0.625
731,-0.625
732,-0.78125
733,-0.625
734,-0.625
735,-0.625
736,-0.78125
737,-0.78125
738,-0.78125
739,-0.78125
740,-0.625
741,-0.625
742,-0.78125
743,-0.78125
744,-0.78125
745,-0.625
746,-0.625
747,-0.78125
748,-0.78125
749,-0.78125
750,-0.78125
751,-0.625
752,-0.625
753,-0.625
754,-0.78125
755,-0.625
756,-0.625
757,-0.78125
758,-0.78125
759,-0.78125
760,-0.78125
761,-0.78125
762,-0.625
763,-0.78125
764,-0.625
765,-0.78125
766,-0.625
767,-0.78125
768,-0.625
769,-0.78125
770,-0.78125
771,-0.625
772,-0.78125
773,-0.78125
774,-0.78125
775,-0.78125
776,-0.625
777,-0.78125
778,-0.78125
779,-0.9375
780,-0.625
781,-0.78125
782,-0.78125
783,-0.78125
784,-0.78125
785,-0.625
786,-0.625
787,-0.78125
788,-0.78125
789,-0.78125
790,-0.78125
791,-0.78125
792,-0.78125
793,-0.78125
794,-0.78125
795,-0.78125
796,-0.78125
797,-0.78125
798,-0.625
799,-0.9375
800,-0.78125
801,-0.78125
802,-0.78125
803,-0.78125
804,-0.78125
805,-0.625
806,-0.78125
807,-0.9375
808,-0.78125
809,-0.625
810,-0.78125
811,-0.78125
812,-0.625
813,-0.78125
814,-0.625
815,-0.78125
816,-0.625
817,-0.78125
818,-0.78125
819,-0.78125
820,-0.78125
821,-0.78125
822,-0.78125
823,-0.9375
824,-0.78125
825,-0.78125
826,-0.625
827,-0.625
828,-0.625
829,-0.78125
830,-0.78125
831,-0.9375
832,-0.78125
833,-0.78125
834,-0.78125
835,-0.78125
836,-0.78125
837,-0.78125
838,-0.625
839,-0.78125
840,-0.78125
841,-0.78125
842,-0.78125
843,-0.78125
844,-0.78125
845,-0.78125
846,-0.78125
847,-0.78125
848,-0.78125
849,-0.78125
850,-0.78125
851,-0.78125
852,-0.78125
853,-0.78125
854,-0.78125
855,-0.78125
856,-0.78125
857,-0.78125
858,-0.78125
859,-0.78125
860,-0.625
861,-0.625
862,-0.78125
863,-0.625
864,-0.625
865,-0.78125
866,-0.78125
867,-0.625
868,-0.78125
869,-0.78125
870,-0.78125
871,-0.78125
872,-0.78125
873,-0.625
874,-0.78125
875,-0.78125
876,-0.625
877,-0.78125
878,-0.78125
879,-0.78125
880,-0.78125
881,-0.78125
882,-0.78125
883,-0.625
884,-0.78125
885,-0.9375
886,-0.78125
887,-0.78125
888,-0.78125
889,-0.625
890,-0.78125
891,-0.78125
892,-0.78125
893,-0.78125
894,-0.78125
895,-0.625
896,-0.625
897,-0.78125
898,-0.78125
899,-0.625
900,-0.78125
901,-0.78125
902,-0.78125
903,-0.78125
904,-0.78125
905,-0.78125
906,-0.9375
907,-0.625
908,-0.78125
909,-0.78125
910,-0.78125
911,-0.9375
912,-0.9375
913,-0.78125
914,-0.78125
915,-0.625
916,-0.78125
917,-0.78125
918,-0.78125
919,-0.78125
920,-0.78125
921,-0.78125
922,-0.78125
923,-0.78125
924,-0.625
925,-0.78125
926,-0.78125
927,-0.78125
928,-0.625
929,-0.78125
930,-0.78125
931,-0.78125
932,-0.78125
933,-0.625
934,-0.78125
935,-0.78125
936,-0.78125
937,-0.625
938,-0.9375
939,-0.625
940,-0.78125
941,-0.78125
942,-0.9375
943,-0.78125
944,-0.78125
945,-0.78125
946,-0.78125
947,-0.78125
948,-0.78125
949,-0.9375
950,-0.78125
951,-0.78125
952,-0.78125
953,-0.78125
954,-0.78125
955,-0.78125
956,-0.78125
957,-0.78125
958,-0.78125
959,-0.78125
960,-0.78125
961,-0.78125
962,-0.625
963,-0.78125
964,-0.78125
965,-0.78125
966,-0.78125
967,-0.625
968,-0.78125
969,-0.78125
970,-0.78125
971,-0.625
972,-0.78125
973,-0.78125
974,-0.78125
975,-0.78125
976,-0.78125
977,-0.625
978,-0.78125
979,-0.78125
980,-0.625
981,-0.78125
982,-0.78125
983,-0.9375
984,-0.78125
985,-0.78125
986,-0.78125
987,-0.625
988,-0.78125
989,-0.625
990,-0.78125
991,-0.625
992,-0.625
993,-0.625
994,-0.78125
995,-0.78125
996,-0.78125
997,-0.78125
998,-0.78125
999,-0.625
1000,-0.78125
1001,-0.78125
1002,-0.78125
1003,-0.78125
1004,-0.625
1005,-0.78125
1006,-0.9375
1007,-0.78125
1008,-0.78125
1009,-0.625
1010,-0.78125
1011,-0.78125
1012,-0.78125
1013,-0.78125
1014,-0.78125
1015,-0.78125
1016,-0.625
1017,-0.78125
1018,-0.78125
1019,-0.625
1020,-0.9375
1021,-0.78125
1022,-0.78125
1023,-0.625
1024,-0.78125
1025,-0.78125
1026,-0.78125
1027,-0.78125
1028,-0.78125
1029,-0.78125
1030,-0.625
1031,-0.625
1032,-0.78125
1033,-0.78125
1034,-0.78125
1035,-0.78125
1036,-0.625
1037,-0.78125
1038,-0.625
1039,-0.78125
1040,-0.78125
1041,-0.78125
1042,-0.625
1043,-0.78125
1044,-0.9375
1045,-0.78125
1046,-0.9375
1047,-0.78125
1048,-0.78125
1049,-0.625
1050,-0.78125
1051,-0.625
1052,-0.78125
1053,-0.625
1054,-0.78125
1055,-0.78125
1056,-0.78125
1057,-0.78125
1058,-0.78125
1059,-0.625
1060,-0.78125
1061,-0.78125
1062,-0.625
1063,-0.78125
1064,-0.78125
1065,-0.78125
1066,-0.78125
1067,-0.9375
1068,-0.9375
1069,-0.625
1070,-0.625
1071,-0.78125
1072,-0.78125
1073,-0.78125
1074,-0.78125
1075,-0.78125
1076,-0.78125
1077,-0.78125
1078,-0.9375
1079,-0.78125
1080,-0.625
1081,-0.78125
1082,-0.78125
1083,-0.78125
1084,-0.78125
1085,-0.625
1086,-0.78125
1087,-0.625
1088,-0.78125
1089,-0.78125
1090,-0.78125
1091,-0.78125
1092,-0.78125
1093,-0.78125
1094,-0.78125
1095,-0.9375
1096,-0.78125
1097,-0.78125
1098,-0.78125
1099,-0.78125
1100,-0.78125
1101,-0.625
1102,-0.78125
1103,-0.78125
1104,-0.78125
1105,-0.625
1106,-0.78125
1107,-0.625
1108,-0.78125
1109,-0.78125
1110,-0.78125
1111,-0.78125
1112,-0.625
1113,-0.625
1114,-0.78125
1115,-0.9375
1116,-0.78125
1117,-0.78125
1118,-0.9375
1119,-0.78125
1120,-0.78125
1121,-0.78125
1122,-0.78125
1123,-0.78125
1124,-0.9375
1125,-0.78125
1126,-0.78125
1127,-0.78125
1128,-0.78125
1129,-0.78125
1130,-0.78125
1131,-0.625
1132,-0.78125
1133,-0.78125
1134,-0.78125
1135,-0.78125
1136,-0.78125
1137,-0.78125
1138,-0.78125
1139,-0.78125
1140,-0.78125
1141,-0.78125
1142,-0.78125
1143,-0.78125
1144,-0.78125
1145,-0.78125
1146,-0.78125
1147,-0.625
1148,-0.625
1149,-0.625
1150,-0.78125
1151,-0.9375
1152,-0.78125
1153,-0.78125
1154,-0.9375
1155,-0.78125
1156,-0.78125
1157,-0.9375
1158,-0.78125
1159,-0.78125
1160,-0.78125
1161,-0.78125
1162,-0.78125
1163,-0.78125
1164,-0.78125
1165,-0.78125
1166,-0.9375
1167,-0.78125
1168,-0.78125
1169,-0.78125
1170,-0.78125
1171,-0.78125
1172,-0.78125
1173,-0.78125
1174,-0.78125
1175,-0.9375
1176,-0.625
1177,-0.78125
1178,-0.78125
1179,-0.78125
1180,-0.78125
1181,-0.78125
1182,-0.78125
1183,-0.625
1184,-0.78125
1185,-0.9375
1186,-0.9375
1187,-0.9375
1188,-0.9375
1189,-0.78125
1190,-0.78125
1191,-0.78125
1192,-0.78125
1193,-0.78125
1194,-0.9375
1195,-0.78125
1196,-0.9375
1197,-0.9375
1198,-0.78125
1199,-0.78125
1200,-0.9375
1201,-0.9375
1202,-0.78125
1203,-0.9375
1204,-0.9375
1205,-0.78125
1206,-0.625
1207,-0.78125
1208,-0.9375
1209,-0.78125
1210,-0.78125
1211,-0.78125
1212,-0.78125
1213,-0.78125
1214,-0.78125
1215,-0.625
1216,-0.78125
1217,-0.78125
1218,-0.78125
1219,-0.625
1220,-0.78125
1221,-0.78125
1222,-0.9375
1223,-0.78125
1224,-0.78125
1225,-0.78125
1226,-0.78125
1227,-0.9375
1228,-0.625
1229,-0.78125
1230,-0.78125
1231,-0.78125
1232,-0.625
1233,-0.9375
1234,-0.78125
1235,-0.78125
1236,-0.78125
1237,-0.78125
1238,-0.9375
1239,-0.78125
1240,-0.78125
1241,-0.9375
1242,-0.78125
1243,-0.78125
1244,-0.78125
1245,-0.625
1246,-0.78125
1247,-0.9375
1248,-0.9375
1249,-0.78125
1250,-0.78125
1251,-0.78125
1252,37.65625
1253,23.28125
1254,34.0625
1255,34.53125
1256,34.375
1257,34.0625
1258,33.59375
1259,33.4375
1260,33.125
1261,31.71875
1262,21.71875
1263,-0.78125
1264,-0.78125
1265,-0.78125
1266,-0.78125
1267,-0.78125
1268,-0.9375
1269,-0.9375
1270,-0.78125
1271,-0.78125
1272,-0.78125
1273,-0.78125
1274,-0.78125
1275,-0.78125
1276,-0.9375
1277,-0.78125
1278,-0.78125
1279,-0.78125
1280,-0.78125
1281,-0.78125
1282,-0.78125
1283,-0.78125
1284,-0.78125
1285,-0.78125
1286,-0.9375
1287,-0.78125
1288,-0.9375
1289,-0.78125
1290,-0.78125
1291,-0.78125
1292,-0.78125
1293,-0.78125
1294,-0.78125
1295,-0.78125
1296,-0.78125
1297,-0.78125
1298,-0.9375
1299,-0.9375
1300,-0.78125
1301,-0.9375
1302,-0.78125
1303,-0.78125
1304,-0.625
1305,-0.9375
1306,-0.78125
1307,-0.78125
1308,-0.78125
1309,-0.78125
1310,-0.78125
1311,-0.78125
1312,-0.78125
1313,-0.78125
1314,-0.78125
1315,-0.9375
1316,-0.78125
1317,-0.78125
1318,-0.78125
1319,-0.78125
1320,-0.78125
1321,-0.9375
1322,-0.9375
1323,-0.9375
1324,-0.78125
1325,-0.9375
1326,-0.78125
1327,-0.78125
1328,-0.78125
1329,-0.78125
1330,-0.9375
1331,-0.78125
1332,-0.78125
1333,-0.9375
1334,-0.78125
1335,-0.78125
1336,-0.78125
1337,-0.78125
1338,-0.78125
1339,-0.78125
1340,-0.78125
1341,-0.78125
1342,-0.9375
1343,-0.9375
1344,-0.78125
1345,-0.9375
1346,-0.78125
1347,-0.9375
1348,-0.9375
1349,-0.78125
1350,-0.9375
1351,-0.78125
1352,-0.78125
1353,-0.78125
1354,-0.78125
1355,-0.9375
1356,-0.9375
1357,-0.9375
1358,-0.78125
1359,-0.78125
1360,-0.9375
1361,-0.78125
1362,-0.78125
1363,-0.78125
1364,-0.78125
1365,-0.9375
1366,-0.9375
1367,-0.78125
1368,-0.9375
1369,-0.78125
1370,-0.9375
1371,-0.78125
1372,-0.9375
1373,-0.78125
1374,-0.9375
1375,-0.9375
1376,-0.78125
1377,-0.78125
1378,-0.78125
1379,-0.78125
1380,-0.9375
1381,-0.78125
1382,-0.78125
1383,-0.9375
1384,-0.9375
1385,-0.9375
1386,-0.78125
1387,-0.78125
1388,-0.9375
1389,-0.78125
1390,-0.9375
1391,-0.78125
1392,-0.78125
1393,-0.78125
1394,-0.9375
1395,-0.9375
1396,-0.625
1397,-0.78125
1398,-0.78125
1399,-0.78125
1400,-0.9375
1401,-0.78125
1402,-0.9375
1403,-0.78125
1404,-0.9375
1405,-0.78125
1406,-0.78125
