éûçè,cell_1(V),cell_2(V),cell_3(V),cell_4(V),cell_5(V),cell_6(V),cell_7(V),cell_8(V),cell_9(V),cell_10(V),cell_11(V),cell_12(V),cell_13(V),cell_14(V),cell_15(V),cell_16(V)
9:30:05,3.361,3.3604,3.3612,3.3621,3.3615,3.3601,3.3619,3.3693,3.3626,3.3627,3.362,3.3675,3.364,3.3631,3.3638,3.3632
9:30:06,3.3605,3.3602,3.361,3.3614,3.361,3.3607,3.3612,3.3693,3.3621,3.3616,3.3617,3.3677,3.3638,3.3629,3.3632,3.3632
9:30:07,3.3608,3.3597,3.3607,3.3608,3.3611,3.3605,3.361,3.3692,3.3623,3.3613,3.362,3.3677,3.3627,3.3627,3.3632,3.3627
9:30:08,3.3603,3.3597,3.3607,3.3608,3.361,3.3598,3.3609,3.3692,3.3612,3.3609,3.3615,3.3671,3.3627,3.3622,3.3629,3.3625
9:30:09,3.3601,3.3599,3.3601,3.3607,3.3603,3.3594,3.3607,3.3686,3.3616,3.3615,3.3608,3.3675,3.3633,3.3624,3.3629,3.3622
9:30:10,3.3601,3.3597,3.3603,3.36,3.3603,3.3594,3.3605,3.3686,3.3618,3.3608,3.3608,3.3677,3.3627,3.362,3.3624,3.3622
9:30:11,3.3594,3.359,3.3598,3.3603,3.3601,3.3596,3.3602,3.3686,3.3611,3.3606,3.361,3.367,3.3626,3.362,3.3622,3.3616
9:30:12,3.3601,3.3592,3.3598,3.3598,3.3599,3.3591,3.3607,3.3685,3.3609,3.3606,3.3605,3.3671,3.362,3.3617,3.362,3.3618
9:30:13,3.3598,3.3588,3.36,3.36,3.3601,3.3591,3.3607,3.3685,3.3609,3.3606,3.3605,3.3673,3.362,3.3618,3.362,3.3615
9:30:14,3.1922,3.3587,3.3594,3.3594,3.3597,3.3589,3.3452,3.3054,3.271,3.2409,3.2292,3.2097,3.3559,3.3145,3.2869,3.2682
9:30:15,3.2089,3.2254,3.1863,3.1718,3.1997,3.1897,3.2001,3.1953,3.2017,3.1936,3.2091,3.212,3.2055,3.18,3.1943,3.2044
9:30:16,3.1941,3.2097,3.1952,3.1875,3.2171,3.2026,3.2036,3.2024,3.1958,3.1851,3.1974,3.2062,3.2094,3.1835,3.1904,3.1972
9:30:17,3.1711,3.1874,3.1694,3.1583,3.1821,3.163,3.1615,3.1584,3.1486,3.1338,3.1471,3.1563,3.1703,3.1358,3.1434,3.1504
9:30:18,3.1208,3.1407,3.1181,3.1032,3.1326,3.1054,3.1044,3.0957,3.0839,3.115,3.1305,3.14,3.1476,3.112,3.122,3.1315
9:30:19,3.1208,3.1407,3.1181,3.1032,3.1326,3.1054,3.1044,3.0957,3.0839,3.115,3.1305,3.14,3.1145,3.0702,3.0798,3.0875
9:30:20,3.0497,3.0754,3.05,3.0372,3.0752,3.0472,3.0512,3.0427,3.0325,3.0165,3.0374,3.0683,3.1145,3.0702,3.0798,3.0875
9:30:21,3.001,3.0328,3.0047,2.9902,3.0327,2.9988,3.0049,3.0154,3.0048,2.9874,3.0084,3.0161,3.0374,2.9842,2.9993,3.0116
9:30:22,2.975,3.0096,2.9816,2.9733,3.018,2.9841,2.9918,2.9764,2.9678,2.951,2.9759,2.9841,3.0001,2.9426,2.9617,2.976
9:30:23,2.9518,2.9863,2.9561,2.9405,2.9869,2.9478,2.9543,2.9317,2.918,2.9009,2.9255,2.93,2.9643,2.8997,2.9177,2.9292
9:30:24,2.9072,2.9455,2.9281,2.9132,2.9635,2.9246,2.9356,2.9121,2.902,2.8875,2.915,2.9197,2.9429,2.8789,2.8998,2.9148
9:30:25,2.8758,2.9179,2.8823,2.8652,2.9173,2.8724,2.8838,2.8544,2.8367,2.8232,2.8521,2.8869,2.8923,2.8208,2.8422,2.8545
9:30:26,2.8271,2.8761,2.8391,2.823,2.8801,2.8338,2.849,2.8253,2.8073,2.7978,2.8299,2.8323,2.8554,2.7824,2.8066,2.8212
9:30:27,2.8198,2.869,2.8317,2.8199,2.8764,2.8308,2.8459,2.8144,2.7953,2.788,2.8209,2.8232,2.8368,2.7794,2.8029,2.8179
9:30:28,2.8308,2.8517,2.8162,2.8403,2.843,2.8541,2.8146,2.8186,2.7871,2.7803,2.8289,2.7921,2.8277,2.7909,2.796,2.8144
