éûçè,cell_1(V),cell_2(V),cell_3(V),cell_4(V),cell_5(V),cell_6(V),cell_7(V),cell_8(V),cell_9(V),cell_10(V),cell_11(V),cell_12(V),cell_13(V),cell_14(V),cell_15(V),cell_16(V)
11:24:03,3.3389,3.3374,3.3383,3.3381,3.3372,3.338,3.3385,3.3416,3.3401,3.3397,3.3386,3.3427,3.3395,3.3394,3.3402,3.3395
11:24:04,3.3375,3.3372,3.3369,3.3371,3.3381,3.3381,3.3375,3.3423,3.3403,3.3388,3.3386,3.3434,3.3404,3.3396,3.3402,3.3393
11:24:05,3.3385,3.3368,3.3373,3.3381,3.3381,3.338,3.3383,3.3417,3.3396,3.3397,3.3392,3.342,3.3397,3.3396,3.3397,3.3398
11:24:06,3.3774,3.3723,3.3765,3.3799,3.3757,3.3806,3.3788,3.388,3.3857,3.3873,3.3849,3.3815,3.3771,3.3831,3.3858,3.381
11:24:07,3.3838,3.376,3.3813,3.3851,3.3798,3.3844,3.3837,3.3893,3.3906,3.3921,3.3884,3.3872,3.3869,3.3917,3.3914,3.3866
11:24:08,3.3906,3.3826,3.3896,3.3928,3.3872,3.3916,3.3904,3.3933,3.3991,3.396,3.3917,3.3902,3.3913,3.3957,3.3992,3.3944
11:24:09,3.3974,3.3878,3.3954,3.3999,3.3909,3.394,3.3946,3.3938,3.403,3.4026,3.3989,3.3916,3.3967,3.4015,3.4053,3.401
11:24:10,3.3992,3.3908,3.3984,3.4028,3.3968,3.4002,3.4,3.3958,3.411,3.4084,3.4047,3.3944,3.404,3.4073,3.4125,3.4044
11:24:11,3.4053,3.3959,3.4038,3.4096,3.4017,3.405,3.4065,3.3982,3.417,3.4114,3.408,3.3951,3.4062,3.4095,3.4148,3.4102
11:24:12,3.4093,3.4003,3.4094,3.4145,3.4044,3.4075,3.4094,3.3989,3.4217,3.4178,3.4132,3.3976,3.4092,3.4116,3.4181,3.4133
11:24:13,3.4125,3.4029,3.412,3.4172,3.41,3.4124,3.4138,3.4019,3.4299,3.4227,3.4186,3.3988,3.4155,3.4174,3.4243,3.4186
11:24:14,3.4175,3.4058,3.4174,3.4232,3.4143,3.4169,3.4196,3.4024,3.4372,3.4281,3.4213,3.4002,3.4204,3.4221,3.4297,3.4245
11:24:15,3.4217,3.4113,3.4219,3.4288,3.4208,3.4204,3.4218,3.404,3.4404,3.4314,3.426,3.4019,3.4255,3.4272,3.4325,3.4268
11:24:16,3.4243,3.4125,3.4249,3.4317,3.4218,3.4235,3.4278,3.4052,3.4445,3.4335,3.4288,3.4023,3.4285,3.4288,3.438,3.4329
11:24:17,3.4257,3.4149,3.4272,3.4335,3.4243,3.4263,3.4299,3.4068,3.4533,3.4389,3.4314,3.404,3.4317,3.4321,3.441,3.435
11:24:18,3.4322,3.4203,3.434,3.4413,3.4306,3.4316,3.4353,3.4082,3.4613,3.4441,3.4382,3.4065,3.4397,3.4361,3.4464,3.4406
11:24:19,3.4338,3.4226,3.4354,3.4434,3.4339,3.4326,3.4391,3.4089,3.4665,3.4457,3.4403,3.4072,3.4417,3.441,3.452,3.4452
11:24:20,3.4371,3.4237,3.4354,3.4434,3.4339,3.4326,3.4391,3.4106,3.4697,3.4483,3.4434,3.4077,3.4443,3.4433,3.4541,3.4478
11:24:21,3.4371,3.4237,3.4354,3.4434,3.4339,3.4326,3.4391,3.4106,3.4697,3.4483,3.4434,3.4077,3.4508,3.4496,3.4624,3.4547
11:24:22,3.4442,3.4303,3.4466,3.4553,3.4439,3.4412,3.4482,3.4136,3.4878,3.4581,3.4513,3.4119,3.4526,3.4517,3.465,3.4575
11:24:23,3.4472,3.4324,3.4485,3.4569,3.4462,3.4449,3.4524,3.4153,3.498,3.4616,3.4555,3.4127,3.4576,3.456,3.4703,3.4617
11:24:24,3.4496,3.4357,3.4518,3.4623,3.4495,3.4478,3.4573,3.4164,3.5077,3.4631,3.4574,3.4133,3.459,3.4578,3.4725,3.4636
11:24:25,3.4515,3.4387,3.4715,3.4326,3.4691,3.4499,3.4585,3.436,3.4919,3.4487,3.4794,3.4346,3.4219,3.5001,3.4581,3.4484
11:24:26,3.4536,3.4401,3.4734,3.4345,3.4712,3.4524,3.462,3.443,3.498,3.4495,3.485,3.4363,3.424,3.506,3.4615,3.4512
11:24:27,3.4577,3.4434,3.4767,3.4382,3.4743,3.4562,3.4658,3.444,3.5086,3.4539,3.4862,3.4374,3.4271,3.5076,3.4636,3.4531
11:24:28,3.4577,3.4434,3.4767,3.4382,3.4743,3.4562,3.4658,3.444,3.5086,3.4539,3.4862,3.4374,3.4285,3.5113,3.4675,3.4557
11:24:29,3.4617,3.4469,3.4811,3.4436,3.4782,3.46,3.4716,3.4466,3.5236,3.4582,3.4923,3.4415,3.4313,3.5143,3.4715,3.4591
11:24:30,3.462,3.4483,3.4818,3.4445,3.4795,3.4613,3.4716,3.4473,3.5236,3.4582,3.4923,3.4415,3.4313,3.5143,3.4715,3.4591
11:24:31,3.462,3.4483,3.4818,3.4445,3.4795,3.4613,3.4716,3.4473,3.5236,3.4582,3.4923,3.4415,3.4347,3.5178,3.4752,3.4622
11:24:32,3.4639,3.4511,3.4849,3.4478,3.4837,3.4635,3.4758,3.4496,3.5467,3.4609,3.4962,3.4431,3.4354,3.5179,3.4762,3.4622
11:24:33,3.4655,3.4506,3.4848,3.4487,3.4834,3.4632,3.4754,3.4491,3.5498,3.461,3.4971,3.4422,3.4341,3.5178,3.4768,3.462
11:24:34,3.4638,3.4506,3.4849,3.4481,3.4837,3.4628,3.4758,3.4485,3.5559,3.4609,3.4955,3.4426,3.4343,3.518,3.477,3.4617
11:24:35,3.4639,3.4516,3.4844,3.4474,3.4837,3.4628,3.4751,3.4496,3.5617,3.461,3.496,3.4426,3.4331,3.5178,3.477,3.4619
11:24:36,3.4634,3.4506,3.4841,3.4473,3.4825,3.4635,3.4745,3.4492,3.5648,3.4607,3.4953,3.4433,3.4333,3.5173,3.4764,3.4615
11:24:37,3.4638,3.4506,3.4832,3.4471,3.4832,3.4621,3.4744,3.4499,3.5683,3.4602,3.4953,3.4429,3.4333,3.5173,3.4766,3.4605
11:24:38,3.4624,3.4504,3.4839,3.4467,3.4822,3.4634,3.4744,3.4498,3.5735,3.4591,3.4946,3.4445,3.4322,3.5173,3.4763,3.4607
11:24:39,3.4624,3.4504,3.4839,3.4467,3.4822,3.4634,3.4744,3.4498,3.5735,3.4591,3.4946,3.4445,3.4328,3.5171,3.4761,3.46
11:24:40,3.4622,3.4499,3.483,3.4457,3.4816,3.463,3.4745,3.4508,3.5804,3.4586,3.4941,3.4452,3.4319,3.5171,3.4756,3.4598
11:24:41,3.4622,3.4504,3.4823,3.4462,3.4825,3.4621,3.4745,3.4519,3.5831,3.4589,3.4941,3.4452,3.4322,3.5167,3.4759,3.4591
11:24:42,3.4615,3.45,3.4832,3.4462,3.4822,3.462,3.4733,3.4524,3.5852,3.4581,3.4932,3.4466,3.431,3.5162,3.475,3.4591
11:24:43,3.4615,3.4506,3.482,3.4455,3.4827,3.4616,3.4737,3.4533,3.5884,3.4577,3.4946,3.4459,3.4315,3.5162,3.4759,3.4591
11:24:44,3.4627,3.4499,3.4823,3.4457,3.4815,3.4621,3.4744,3.4531,3.5905,3.4581,3.4923,3.4468,3.4307,3.5164,3.4749,3.4586
11:24:45,3.4606,3.4495,3.4821,3.445,3.482,3.4627,3.4735,3.4533,3.5922,3.4577,3.4927,3.4473,3.4303,3.5153,3.4749,3.4582
11:24:46,3.4624,3.45,3.4818,3.4455,3.4813,3.462,3.4742,3.454,3.5962,3.4572,3.493,3.4477,3.4303,3.516,3.4745,3.4577
11:24:47,3.4599,3.4495,3.4813,3.4448,3.4811,3.4614,3.4731,3.4554,3.598,3.4574,3.4929,3.4487,3.4305,3.5153,3.4743,3.4573
11:24:48,3.4615,3.4504,3.4811,3.4448,3.4815,3.4611,3.4733,3.4552,3.5997,3.4572,3.4923,3.4491,3.4294,3.515,3.474,3.4573
11:24:49,3.4603,3.4502,3.4818,3.4447,3.4813,3.4623,3.4728,3.4562,3.603,3.4565,3.4911,3.4492,3.4307,3.5148,3.4742,3.4573
11:24:50,3.4613,3.4499,3.4806,3.445,3.4811,3.4614,3.473,3.4573,3.6023,3.456,3.4925,3.4501,3.4293,3.5146,3.474,3.4566
11:24:51,3.4608,3.4493,3.4811,3.4445,3.4808,3.4616,3.473,3.4569,3.6055,3.4567,3.4918,3.4506,3.4289,3.5146,3.4736,3.4573
11:24:52,3.4601,3.4493,3.4804,3.4443,3.4815,3.4609,3.473,3.459,3.6071,3.4567,3.4913,3.4518,3.4298,3.5148,3.4729,3.4563
11:24:53,3.4596,3.4495,3.4809,3.444,3.4804,3.4614,3.4714,3.4596,3.6086,3.4555,3.4906,3.452,3.4289,3.5141,3.4733,3.4558
11:24:54,3.4594,3.4492,3.4802,3.4443,3.4815,3.4607,3.4723,3.4606,3.6095,3.456,3.4911,3.4532,3.4293,3.5145,3.4726,3.4556
11:24:55,3.4596,3.4486,3.4804,3.4441,3.4801,3.4609,3.4726,3.4603,3.6095,3.4558,3.4909,3.4534,3.4293,3.5141,3.4724,3.4559
11:24:56,3.4594,3.4495,3.4801,3.4434,3.4804,3.4609,3.4716,3.4618,3.6119,3.4546,3.4913,3.4548,3.4287,3.5141,3.4724,3.4556
11:24:57,3.4603,3.449,3.4802,3.444,3.4801,3.4614,3.4723,3.4615,3.6125,3.4558,3.4904,3.4543,3.4275,3.5134,3.472,3.4554
11:24:58,3.4585,3.4495,3.4795,3.4434,3.4803,3.4611,3.4712,3.4634,3.6147,3.4548,3.4911,3.4559,3.428,3.5136,3.4719,3.4549
11:24:59,3.4597,3.4493,3.4785,3.4436,3.4799,3.4604,3.4717,3.4634,3.6151,3.4552,3.4902,3.4569,3.427,3.5127,3.4712,3.4547
11:25:00,3.4306,3.4238,3.4504,3.4104,3.4501,3.4279,3.438,3.43,3.5667,3.4336,3.4673,3.4319,3.4021,3.4828,3.4376,3.4226
11:25:01,3.4168,3.4119,3.436,3.3959,3.4367,3.4212,3.4305,3.4274,3.5482,3.4082,3.4464,3.4216,3.3843,3.473,3.4266,3.4133
11:25:02,3.4079,3.4083,3.4319,3.3909,3.4325,3.4136,3.4202,3.4226,3.5222,3.3989,3.4376,3.4186,3.3799,3.4629,3.4147,3.4026
11:25:03,3.4079,3.4055,3.428,3.3881,3.4248,3.4099,3.4167,3.4223,3.4974,3.3989,3.4376,3.4186,3.3763,3.4594,3.4096,3.3986
11:25:04,3.4006,3.3983,3.4046,3.4102,3.4078,3.4052,3.4111,3.4195,3.4785,3.4272,3.4087,3.3958,3.4333,3.3725,3.4412,3.4121
11:25:05,3.3985,3.3967,3.4013,3.4078,3.4038,3.3999,3.4061,3.4183,3.4634,3.4228,3.4048,3.3926,3.4278,3.3674,3.435,3.4074
11:25:06,3.395,3.3931,3.398,3.4036,3.3993,3.3971,3.4021,3.4162,3.4532,3.4209,3.402,3.3923,3.4243,3.3629,3.4305,3.4032
11:25:07,3.3924,3.3899,3.3947,3.3999,3.3977,3.3952,3.3993,3.4153,3.448,3.4171,3.3989,3.3909,3.4228,3.3615,3.4283,3.4009
11:25:08,3.3912,3.3885,3.3928,3.3989,3.394,3.3924,3.3975,3.4134,3.4387,3.4148,3.3952,3.3898,3.4182,3.3576,3.4247,3.3981
11:25:09,3.3877,3.3863,3.3919,3.3966,3.393,3.3916,3.3949,3.413,3.4351,3.4122,3.394,3.3888,3.4161,3.3557,3.4213,3.3955
